,close,high,low,open,ticker,vol
2003-04-28,2.3534326355,2.3534326355,2.3098505494999997,2.3185669666999997,SAN,29119107
2003-04-29,2.3447162184,2.4580296416,2.3447162184,2.3795818871,SAN,39281650
2003-04-30,2.3447162184,2.3708654699,2.3272833841,2.3534326355,SAN,33889776
2003-05-02,2.3447162184,2.3795818871,2.3098505494999997,2.3447162184,SAN,67665454
2003-05-05,2.3621490526,2.4580296416,2.3534326355,2.3708654699,SAN,19294519
2003-05-06,2.3970147213999997,2.4493132242,2.3447162184,2.3621490526,SAN,32840462
2003-05-07,2.3272833841,2.4405968071,2.3185669666999997,2.3534326355,SAN,29200788
2003-05-08,2.222686378,2.3272833841,2.222686378,2.3272833841,SAN,35694244
2003-05-09,2.3098505494999997,2.3098505494999997,2.2052535435,2.2575520466,SAN,31399390
2003-05-12,2.3185669666999997,2.3185669666999997,2.2401192122999998,2.3185669666999997,SAN,23052065
2003-05-13,2.3098505494999997,2.3272833841,2.3098505494999997,2.3185669666999997,SAN,23768242
2003-05-14,2.3098505494999997,2.3185669666999997,2.2575520466,2.3098505494999997,SAN,26276611
2003-05-15,2.3185669666999997,2.3185669666999997,2.2401192122999998,2.3098505494999997,SAN,18097487
2003-05-16,2.3272833841,2.3272833841,2.3098505494999997,2.3098505494999997,SAN,21038666
2003-05-19,2.222686378,2.3185669666999997,2.222686378,2.3098505494999997,SAN,20880638
2003-05-20,2.222686378,2.2662684638,2.1703878749000003,2.2401192122999998,SAN,25186480
2003-05-21,2.1616714577000002,2.2314027950999997,2.1093729547,2.222686378,SAN,26664354
2003-05-22,2.222686378,2.222686378,2.1616714577000002,2.1703878749000003,SAN,19728778
2003-05-23,2.2401192122999998,2.2662684638,2.1791042922,2.2401192122999998,SAN,19968206
2003-05-26,2.2662684638,2.3098505494999997,2.2401192122999998,2.3011341326,SAN,9947429
2003-05-27,2.2401192122999998,2.2662684638,2.1703878749000003,2.2575520466,SAN,21702067
2003-05-28,2.3098505494999997,2.3098505494999997,2.3098505494999997,2.3098505494999997,SAN,28284454
2003-05-29,2.3185669666999997,2.3185669666999997,2.3098505494999997,2.3098505494999997,SAN,21222964
2003-05-30,2.3272833841,2.3359998009000003,2.3098505494999997,2.3185669666999997,SAN,32479596
2003-06-02,2.3447162184,2.3534326355,2.3272833841,2.3272833841,SAN,30478641
2003-06-03,2.3447162184,2.3447162184,2.3185669666999997,2.3272833841,SAN,17987770
2003-06-04,2.3534326355,2.3795818871,2.3359998009000003,2.3447162184,SAN,23449556
2003-06-05,2.3359998009000003,2.3882983041,2.3272833841,2.3621490526,SAN,21727800
2003-06-06,2.4667460587,2.4667460587,2.3447162184,2.3447162184,SAN,30800862
2003-06-09,2.3970147213999997,2.4580296416,2.3534326355,2.3970147213999997,SAN,12946790
2003-06-10,2.4667460587,2.4667460587,2.3534326355,2.3621490526,SAN,27664178
2003-06-11,2.5451938131,2.5451938131,2.4580296416,2.4667460587,SAN,37806335
2003-06-12,2.632357985,2.6497908194,2.536477396,2.5451938131,SAN,35113947
2003-06-13,2.6410744021,2.6846564879000003,2.5800594818,2.632357985,SAN,31108680
2003-06-16,2.6846564879000003,2.6846564879000003,2.6062087334,2.6062087334,SAN,30029911
2003-06-17,2.7020893224,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,40854955
2003-06-18,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,33962741
2003-06-19,2.6410744021,2.6846564879000003,2.6149251506,2.6846564879000003,SAN,45272425
2003-06-20,2.6846564879000003,2.6846564879000003,2.6062087334,2.6236415676,SAN,50618522
2003-06-23,2.6410744021,2.6846564879000003,2.6236415676,2.6846564879000003,SAN,24299965
2003-06-24,2.6062087334,2.6497908194,2.6062087334,2.6410744021,SAN,24188960
2003-06-25,2.6410744021,2.6410744021,2.6062087334,2.6149251506,SAN,32210973
2003-06-26,2.6410744021,2.6672236536000002,2.6062087334,2.6062087334,SAN,23643675
2003-06-27,2.6846564879000003,2.6846564879000003,2.6410744021,2.6672236536000002,SAN,18761797
2003-06-30,2.6062087334,2.6846564879000003,2.6062087334,2.6846564879000003,SAN,47039488
2003-07-01,2.5277609789,2.6410744021,2.5277609789,2.6410744021,SAN,33586653
2003-07-02,2.6149251506,2.6410744021,2.5800594818,2.5974923161000003,SAN,25514929
2003-07-03,2.632357985,2.6410744021,2.5800594818,2.6236415676,SAN,23087789
2003-07-04,2.6410744021,2.6410744021,2.6149251506,2.6149251506,SAN,10204449
2003-07-07,2.6846564879000003,2.6846564879000003,2.6410744021,2.6410744021,SAN,27537179
2003-07-08,2.7195221564999996,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,27255048
2003-07-09,2.6846564879000003,2.7195221564999996,2.6585072362999997,2.7195221564999996,SAN,28389618
2003-07-10,2.6497908194,2.6846564879000003,2.6410744021,2.6846564879000003,SAN,22049532
2003-07-11,2.7195221564999996,2.7195221564999996,2.632357985,2.6410744021,SAN,24912569
2003-07-14,2.7282385738,2.7282385738,2.6846564879000003,2.7195221564999996,SAN,27534344
2003-07-15,2.7195221564999996,2.7369549907999997,2.6846564879000003,2.7195221564999996,SAN,31014689
2003-07-16,2.6846564879000003,2.7369549907999997,2.6846564879000003,2.7282385738,SAN,31423144
2003-07-17,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,23910694
2003-07-18,2.6846564879000003,2.6846564879000003,2.6585072362999997,2.6846564879000003,SAN,29633368
2003-07-21,2.632357985,2.6846564879000003,2.6149251506,2.6846564879000003,SAN,18872049
2003-07-22,2.6410744021,2.6672236536000002,2.6236415676,2.6410744021,SAN,18082430
2003-07-23,2.632357985,2.6672236536000002,2.6149251506,2.6585072362999997,SAN,20174224
2003-07-24,2.6846564879000003,2.6846564879000003,2.6236415676,2.6410744021,SAN,22770753
2003-07-25,2.6585072362999997,2.6846564879000003,2.6410744021,2.6672236536000002,SAN,9380268
2003-07-28,2.7020893224,2.7020893224,2.6846564879000003,2.6846564879000003,SAN,17304826
2003-07-29,2.6846564879000003,2.7195221564999996,2.6410744021,2.6846564879000003,SAN,24060642
2003-07-30,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6672236536000002,SAN,23433978
2003-07-31,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,47278734
2003-08-01,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,33266096
2003-08-04,2.6846564879000003,2.6846564879000003,2.6585072362999997,2.6846564879000003,SAN,23095135
2003-08-05,2.6846564879000003,2.6846564879000003,2.6585072362999997,2.6846564879000003,SAN,28892374
2003-08-06,2.632357985,2.6497908194,2.6062087334,2.6497908194,SAN,39894987
2003-08-07,2.6062087334,2.6410744021,2.5626266475,2.6410744021,SAN,26352480
2003-08-08,2.6236415676,2.6759400707,2.6149251506,2.6236415676,SAN,23561079
2003-08-11,2.6410744021,2.6497908194,2.6236415676,2.6410744021,SAN,12425240
2003-08-12,2.6846564879000003,2.6846564879000003,2.6410744021,2.6410744021,SAN,16824269
2003-08-13,2.6846564879000003,2.6846564879000003,2.6585072362999997,2.6846564879000003,SAN,18582147
2003-08-14,2.6846564879000003,2.6846564879000003,2.6759400707,2.6846564879000003,SAN,34289271
2003-08-18,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.7195221564999996,SAN,23025317
2003-08-19,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.7195221564999996,SAN,20380699
2003-08-20,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,15275413
2003-08-21,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,17780492
2003-08-22,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,11212212
2003-08-25,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,10396396
2003-08-26,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,15779255
2003-08-27,2.6846564879000003,2.6846564879000003,2.6759400707,2.6846564879000003,SAN,17944304
2003-08-28,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,19255823
2003-08-29,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,21679513
2003-09-01,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,15473567
2003-09-02,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,15052518
2003-09-03,2.6846564879000003,2.7020893224,2.6846564879000003,2.6846564879000003,SAN,33650885
2003-09-04,2.7020893224,2.7020893224,2.6846564879000003,2.6846564879000003,SAN,19657618
2003-09-05,2.6846564879000003,2.7020893224,2.6846564879000003,2.6846564879000003,SAN,16807468
2003-09-08,2.7195221564999996,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,19130225
2003-09-09,2.6846564879000003,2.7282385738,2.6846564879000003,2.7282385738,SAN,22663432
2003-09-10,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,27757733
2003-09-11,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,14792818
2003-09-12,2.6410744021,2.6846564879000003,2.6410744021,2.6846564879000003,SAN,27376552
2003-09-15,2.6846564879000003,2.6846564879000003,2.6410744021,2.6585072362999997,SAN,20708735
2003-09-16,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,15588857
2003-09-17,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,23634454
2003-09-18,2.7195221564999996,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,35509503
2003-09-19,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.7195221564999996,SAN,39325723
2003-09-22,2.6410744021,2.6846564879000003,2.6410744021,2.6846564879000003,SAN,29309948
2003-09-23,2.6410744021,2.6672236536000002,2.6062087334,2.6585072362999997,SAN,30519422
2003-09-24,2.6062087334,2.6672236536000002,2.5974923161000003,2.6497908194,SAN,20990353
2003-09-25,2.6062087334,2.6062087334,2.5277609789,2.5626266475,SAN,33678232
