,close,high,low,open,vol
2008-07-25,19117.1,19117.1,19117.1,19117.1,0
2008-07-28,18943.3,18943.3,18943.3,18943.3,0
2008-07-29,19271.9,19271.9,19271.9,19271.9,0
2008-07-30,19493.1,19493.1,19493.1,19493.1,0
2008-07-31,19597.7,19597.7,19597.7,19597.7,0
2008-08-01,19142.6,19142.6,19142.6,19142.6,0
2008-08-04,18940.9,18940.9,18940.9,18940.9,0
2008-08-05,19443.7,19443.7,19443.7,19443.7,0
2008-08-06,19481.7,19481.7,19481.7,19481.7,0
2008-08-07,19387.6,19387.6,19387.6,19387.6,0
2008-08-08,19523.9,19523.9,19523.9,19523.9,0
2008-08-11,19933.8,19933.8,19933.8,19933.8,0
2008-08-12,19848.5,19848.5,19848.5,19848.5,0
2008-08-13,19350.9,19350.9,19350.9,19350.9,0
2008-08-14,19350.9,19350.9,19350.9,19350.9,0
2008-08-15,19350.9,19350.9,19350.9,19350.9,0
2008-08-18,19321.3,19321.3,19321.3,19321.3,0
2008-08-19,18755.2,18755.2,18755.2,18755.2,0
2008-08-20,18755.2,18755.2,18755.2,18755.2,0
2008-08-21,18560.1,18560.1,18560.1,18560.1,0
2008-08-22,18560.1,18560.1,18560.1,18560.1,0
2008-08-25,18741.6,18741.6,18741.6,18741.6,0
2008-08-26,18741.6,18741.6,18741.6,18741.6,0
2008-08-27,18994.0,18994.0,18994.0,18994.0,0
2008-08-28,19296.8,19296.8,19296.8,19296.8,0
2008-08-29,19296.8,19296.8,19296.8,19296.8,0
2008-09-01,19353.1,19353.1,19353.1,19353.1,0
2008-09-02,19353.1,19353.1,19353.1,19353.1,0
2008-09-03,19610.1,19610.1,19610.1,19610.1,0
2008-09-04,18999.4,18999.4,18999.4,18999.4,0
2008-09-05,18999.4,18999.4,18999.4,18999.4,0
2008-09-08,19122.0,19122.0,19122.0,19122.0,0
2008-09-09,19122.0,19122.0,19122.0,19122.0,0
2008-09-10,18504.1,18504.1,18504.1,18504.1,0
2008-09-11,18430.7,18430.7,18430.7,18430.7,0
2008-09-12,18886.7,18886.7,18886.7,18886.7,0
2008-09-15,18886.7,18886.7,18886.7,18886.7,0
2008-09-16,18058.4,18058.4,18058.4,18058.4,0
2008-09-17,18058.4,18058.4,18058.4,18058.4,0
2008-09-18,17595.2,17595.2,17595.2,17595.2,0
2008-09-19,17595.2,17595.2,17595.2,17595.2,0
2008-09-22,18748.4,18748.4,18748.4,18748.4,0
2008-09-23,18497.0,18497.0,18497.0,18497.0,0
2008-09-24,18391.7,18391.7,18391.7,18391.7,0
2008-09-25,18930.7,18930.7,18930.7,18930.7,0
2008-09-26,18930.7,18930.7,18930.7,18930.7,0
2008-09-29,18115.0,18115.0,18115.0,18115.0,0
2008-09-30,18115.0,18115.0,18115.0,18115.0,0
2008-10-01,18115.0,18115.0,18115.0,18115.0,0
2008-10-02,18208.7,18208.7,18208.7,18208.7,0
2008-10-03,18898.8,18898.8,18898.8,18898.8,0
2008-10-06,18898.8,18898.8,18898.8,18898.8,0
2008-10-07,17979.0,17979.0,17979.0,17979.0,0
2008-10-08,17979.0,17979.0,17979.0,17979.0,0
2008-10-09,16391.6,16391.6,16391.6,16391.6,0
2008-10-10,16391.6,16391.6,16391.6,16391.6,0
2008-10-13,16391.6,16391.6,16391.6,16391.6,0
2008-10-14,16964.1,16964.1,16964.1,16964.1,0
2008-10-15,16105.1,16105.1,16105.1,16105.1,0
2008-10-16,15443.7,15443.7,15443.7,15443.7,0
2008-10-17,16019.5,16019.5,16019.5,16019.5,0
2008-10-20,16019.5,16019.5,16019.5,16019.5,0
2008-10-21,16251.4,16251.4,16251.4,16251.4,0
2008-10-22,14924.6,14924.6,14924.6,14924.6,0
2008-10-23,14619.1,14619.1,14619.1,14619.1,0
2008-10-24,13859.2,13859.2,13859.2,13859.2,0
2008-10-27,13289.7,13289.7,13289.7,13289.7,0
2008-10-28,13289.7,13289.7,13289.7,13289.7,0
2008-10-29,14360.3,14360.3,14360.3,14360.3,0
2008-10-30,14647.0,14647.0,14647.0,14647.0,0
2008-10-31,14647.0,14647.0,14647.0,14647.0,0
2008-11-03,15370.3,15370.3,15370.3,15370.3,0
2008-11-04,16194.5,16194.5,16194.5,16194.5,0
2008-11-05,16224.3,16224.3,16224.3,16224.3,0
2008-11-06,16224.3,16224.3,16224.3,16224.3,0
2008-11-07,15556.3,15556.3,15556.3,15556.3,0
2008-11-10,15473.5,15473.5,15473.5,15473.5,0
2008-11-11,14837.7,14837.7,14837.7,14837.7,0
2008-11-12,14508.1,14508.1,14508.1,14508.1,0
2008-11-13,14508.1,14508.1,14508.1,14508.1,0
2008-11-14,14819.2,14819.2,14819.2,14819.2,0
2008-11-17,14262.4,14262.4,14262.4,14262.4,0
2008-11-18,14316.0,14316.0,14316.0,14316.0,0
2008-11-19,13780.2,13780.2,13780.2,13780.2,0
2008-11-20,13405.8,13405.8,13405.8,13405.8,0
2008-11-21,13382.4,13382.4,13382.4,13382.4,0
2008-11-24,14470.1,14470.1,14470.1,14470.1,0
2008-11-25,14594.3,14594.3,14594.3,14594.3,0
2008-11-26,14522.9,14522.9,14522.9,14522.9,0
2008-11-27,14850.5,14850.5,14850.5,14850.5,0
2008-11-28,14953.5,14953.5,14953.5,14953.5,0
2008-12-01,14285.6,14285.6,14285.6,14285.6,0
2008-12-02,14836.3,14836.3,14836.3,14836.3,0
2008-12-03,14912.3,14912.3,14912.3,14912.3,0
2008-12-04,14838.8,14838.8,14838.8,14838.8,0
2008-12-05,14838.8,14838.8,14838.8,14838.8,0
2008-12-08,14838.8,14838.8,14838.8,14838.8,0
2008-12-09,15219.9,15219.9,15219.9,15219.9,0
2008-12-10,15369.9,15369.9,15369.9,15369.9,0
2008-12-11,15420.6,15420.6,15420.6,15420.6,0
2008-12-12,15072.8,15072.8,15072.8,15072.8,0
2008-12-15,15158.9,15158.9,15158.9,15158.9,0
2008-12-16,15395.7,15395.7,15395.7,15395.7,0
2008-12-17,15449.5,15449.5,15449.5,15449.5,0
2008-12-18,15551.8,15551.8,15551.8,15551.8,0
2008-12-19,15551.8,15551.8,15551.8,15551.8,0
2008-12-22,15284.8,15284.8,15284.8,15284.8,0
2008-12-23,15233.7,15233.7,15233.7,15233.7,0
2008-12-29,15148.4,15148.4,15148.4,15148.4,0
2008-12-30,15447.7,15447.7,15447.7,15447.7,0
2009-01-02,15447.7,15447.7,15447.7,15447.7,0
2009-01-05,15447.7,15447.7,15447.7,15447.7,0
2009-01-06,15447.7,15447.7,15447.7,15447.7,0
2009-01-07,15447.7,15447.7,15447.7,15447.7,0
2009-01-08,15962.4,15962.4,15962.4,15962.4,0
2009-01-09,15811.8,15811.8,15811.8,15811.8,0
2009-01-12,15811.8,15811.8,15811.8,15811.8,0
2009-01-13,15309.4,15309.4,15309.4,15309.4,0
2009-01-14,14693.2,14693.2,14693.2,14693.2,0
2009-01-15,14693.2,14693.2,14693.2,14693.2,0
2009-01-16,14693.2,14693.2,14693.2,14693.2,0
2009-01-19,14388.9,14388.9,14388.9,14388.9,0
2009-01-20,14019.1,14019.1,14019.1,14019.1,0
2009-01-21,14019.1,14019.1,14019.1,14019.1,0
2009-01-22,13822.1,13822.1,13822.1,13822.1,0
2009-01-23,13844.9,13844.9,13844.9,13844.9,0
2009-01-26,14190.4,14190.4,14190.4,14190.4,0
2009-01-27,14190.4,14190.4,14190.4,14190.4,0
2009-01-28,14190.4,14190.4,14190.4,14190.4,0
2009-01-29,14381.6,14381.6,14381.6,14381.6,0
2009-01-30,14335.7,14335.7,14335.7,14335.7,0
2009-02-02,14015.7,14015.7,14015.7,14015.7,0
2009-02-03,14234.5,14234.5,14234.5,14234.5,0
2009-02-04,14461.8,14461.8,14461.8,14461.8,0
2009-02-05,14367.8,14367.8,14367.8,14367.8,0
2009-02-06,14367.8,14367.8,14367.8,14367.8,0
2009-02-09,14614.0,14614.0,14614.0,14614.0,0
2009-02-10,14294.7,14294.7,14294.7,14294.7,0
2009-02-11,14224.1,14224.1,14224.1,14224.1,0
2009-02-12,13960.5,13960.5,13960.5,13960.5,0
2009-02-13,14070.4,14070.4,14070.4,14070.4,0
2009-02-16,13746.2,13746.2,13746.2,13746.2,0
2009-02-17,13351.5,13351.5,13351.5,13351.5,0
2009-02-18,13382.5,13382.5,13382.5,13382.5,0
2009-02-19,13407.1,13407.1,13407.1,13407.1,0
2009-02-20,12943.6,12943.6,12943.6,12943.6,0
2009-02-23,12836.1,12836.1,12836.1,12836.1,0
2009-02-24,12739.0,12739.0,12739.0,12739.0,0
2009-02-25,12787.9,12787.9,12787.9,12787.9,0
2009-02-26,13297.8,13297.8,13297.8,13297.8,0
2009-02-27,12973.0,12973.0,12973.0,12973.0,0
2009-03-02,12973.0,12973.0,12973.0,12973.0,0
2009-03-03,12289.7,12289.7,12289.7,12289.7,0
2009-03-04,12524.8,12524.8,12524.8,12524.8,0
2009-03-05,11960.3,11960.3,11960.3,11960.3,0
2009-03-06,11808.7,11808.7,11808.7,11808.7,0
2009-03-09,11605.4,11605.4,11605.4,11605.4,0
2009-03-10,12177.1,12177.1,12177.1,12177.1,0
2009-03-11,12177.1,12177.1,12177.1,12177.1,0
2009-03-12,12177.1,12177.1,12177.1,12177.1,0
2009-03-13,12495.8,12495.8,12495.8,12495.8,0
2009-03-16,13004.5,13004.5,13004.5,13004.5,0
2009-03-17,13018.8,13018.8,13018.8,13018.8,0
2009-03-18,13046.5,13046.5,13046.5,13046.5,0
2009-03-19,13046.5,13046.5,13046.5,13046.5,0
2009-03-20,13114.7,13114.7,13114.7,13114.7,0
2009-03-23,13541.6,13541.6,13541.6,13541.6,0
2009-03-24,13541.6,13541.6,13541.6,13541.6,0
2009-03-25,13746.1,13746.1,13746.1,13746.1,0
2009-03-26,13746.1,13746.1,13746.1,13746.1,0
2009-03-27,13499.5,13499.5,13499.5,13499.5,0
2009-03-30,12943.6,12943.6,12943.6,12943.6,0
2009-03-31,12943.6,12943.6,12943.6,12943.6,0
2009-04-01,13307.8,13307.8,13307.8,13307.8,0
2009-04-02,13307.8,13307.8,13307.8,13307.8,0
2009-04-03,13307.8,13307.8,13307.8,13307.8,0
2009-04-06,14180.5,14180.5,14180.5,14180.5,0
2009-04-07,14226.4,14226.4,14226.4,14226.4,0
2009-04-08,14226.4,14226.4,14226.4,14226.4,0
2009-04-09,14838.1,14838.1,14838.1,14838.1,0
2009-04-14,15087.2,15087.2,15087.2,15087.2,0
2009-04-15,14885.3,14885.3,14885.3,14885.3,0
2009-04-16,15163.1,15163.1,15163.1,15163.1,0
2009-04-17,15430.5,15430.5,15430.5,15430.5,0
2009-04-20,15430.5,15430.5,15430.5,15430.5,0
2009-04-21,15430.5,15430.5,15430.5,15430.5,0
2009-04-22,15094.1,15094.1,15094.1,15094.1,0
2009-04-23,15094.1,15094.1,15094.1,15094.1,0
2009-04-24,15186.5,15186.5,15186.5,15186.5,0
2009-04-27,14996.6,14996.6,14996.6,14996.6,0
2009-04-28,14790.3,14790.3,14790.3,14790.3,0
2009-04-29,15191.9,15191.9,15191.9,15191.9,0
2009-04-30,15442.5,15442.5,15442.5,15442.5,0
2009-05-04,15624.2,15624.2,15624.2,15624.2,0
2009-05-05,15731.0,15731.0,15731.0,15731.0,0
2009-05-06,15889.8,15889.8,15889.8,15889.8,0
2009-05-07,15895.3,15895.3,15895.3,15895.3,0
2009-05-08,16204.1,16204.1,16204.1,16204.1,0
2009-05-11,16046.8,16046.8,16046.8,16046.8,0
2009-05-12,16083.2,16083.2,16083.2,16083.2,0
2009-05-13,15617.5,16226.0,15586.2,16083.2,341614000
2009-05-14,15595.5,15627.8,15342.7,15617.5,254902000
2009-05-15,15585.9,15770.6,15487.7,15595.5,219631000
2009-05-18,15899.6,15906.3,15325.3,15585.9,238877000
2009-05-19,16216.0,16295.2,16027.0,15899.6,263456000
2009-05-20,16307.5,16411.7,16084.8,16216.0,289858000
2009-05-21,16022.5,16152.1,15944.9,16307.5,193197000
2009-05-22,16168.0,16289.0,15990.6,16022.5,193933000
2009-05-25,16235.4,16277.6,15937.1,16168.0,97811000
2009-05-26,16336.8,16394.2,15996.1,16235.4,224525000
2009-05-27,16523.4,16542.8,16370.8,16336.8,249187000
2009-05-28,16392.6,16497.6,16276.1,16523.4,208918000
2009-05-29,16373.1,16601.2,16353.6,16392.6,239087000
2009-06-01,16732.0,16802.8,16571.6,16373.1,214329000
2009-06-02,16793.4,16869.9,16601.7,16732.0,243316000
2009-06-03,16445.9,16878.3,16379.4,16793.4,240787000
2009-06-04,16428.3,16560.0,16290.5,16445.9,192446000
2009-06-05,16540.2,16727.2,16429.2,16428.3,231666000
2009-06-08,16326.7,16504.6,16232.5,16540.2,188930000
2009-06-09,16503.2,16570.0,16395.6,16326.7,193205000
2009-06-10,16728.9,16865.9,16691.2,16503.2,228894000
2009-06-11,16869.2,16921.6,16713.7,16728.9,180960000
2009-06-12,16879.7,16926.2,16770.9,16869.2,157475000
2009-06-15,16541.1,16820.5,16499.4,16879.7,191656000
2009-06-16,16505.1,16661.7,16500.0,16541.1,193579000
2009-06-17,16132.0,16459.2,15988.6,16505.1,352526000
2009-06-18,16307.1,16359.5,16020.1,16132.0,243765000
2009-06-19,16649.3,16688.9,16249.2,16307.1,361213000
2009-06-22,16228.0,16624.8,16215.8,16649.3,251610000
2009-06-23,16245.9,16358.0,16135.0,16228.0,250110000
2009-06-24,16715.6,16756.7,16186.6,16245.9,235458000
2009-06-25,16801.8,16884.7,16460.5,16715.6,222292000
2009-06-26,16836.1,17014.2,16728.4,16801.8,195995000
2009-06-29,17112.1,17126.9,16742.0,16836.1,237621000
2009-06-30,17011.5,17190.0,16908.0,17112.1,237983000
2009-07-01,17274.3,17319.1,17080.3,17011.5,219194000
2009-07-02,16841.0,17328.0,16841.0,17274.3,228007000
2009-07-03,16962.3,16990.3,16758.2,16841.0,128339000
2009-07-06,16724.5,16838.3,16550.2,16962.3,177457000
2009-07-07,16651.4,16937.1,16627.9,16724.5,201408000
2009-07-08,16372.5,16622.5,16312.0,16651.4,199804000
2009-07-09,16550.2,16680.8,16457.6,16372.5,177045000
2009-07-10,16395.2,16546.2,16359.6,16550.2,178568000
2009-07-13,16785.7,16785.7,16785.7,16395.2,175363000
2009-07-14,16902.4,16976.3,16758.1,16785.7,175702000
2009-07-15,17379.6,17379.6,16968.1,16902.4,240840000
2009-07-16,17541.5,17667.3,17291.5,17379.6,227316000
2009-07-17,17619.1,17766.4,17480.7,17541.5,173053000
2009-07-20,17796.3,17832.9,17683.8,17619.1,173701000
2009-07-21,17760.1,17936.4,17713.8,17796.3,218796000
2009-07-22,17814.9,17814.9,17627.4,17760.1,169213000
2009-07-23,18194.5,18252.8,17845.4,17814.9,237291000
2009-07-24,18315.3,18417.4,18147.5,18194.5,210200000
2009-07-27,18583.9,18666.4,18402.3,18315.3,200951000
2009-07-28,18710.8,18839.8,18599.1,18583.9,255579000
2009-07-29,18706.6,18849.8,18596.1,18710.8,231786000
2009-07-30,19079.9,19116.5,18709.0,18706.6,247972000
2009-07-31,19046.1,19182.5,18911.3,19079.9,267271000
2009-08-03,19184.6,19275.6,19007.0,19046.1,182030000
2009-08-04,19141.9,19192.8,18933.3,19184.6,157124000
2009-08-05,18838.6,19222.4,18782.7,19141.9,188152000
2009-08-06,18964.6,19094.7,18884.0,18838.6,196028000
2009-08-07,19266.6,19330.6,18854.1,18964.6,185464000
2009-08-10,19223.4,19243.0,19091.7,19266.6,108086000
2009-08-11,19062.9,19378.7,18982.2,19223.4,142154000
2009-08-12,19242.3,19281.3,18897.2,19062.9,143122000
2009-08-13,19441.2,19612.4,19228.2,19242.3,175182000
2009-08-14,19186.2,19571.3,19099.8,19441.2,137707000
2009-08-17,18652.2,19107.9,18545.6,19186.2,183086000
2009-08-18,18845.5,18845.5,18653.4,18652.2,110272000
2009-08-19,18822.9,18917.5,18499.8,18845.5,127129000
2009-08-20,19169.7,19214.5,18998.3,18822.9,123549000
2009-08-21,19643.0,19700.9,19091.5,19169.7,205791000
2009-08-24,19894.4,19974.2,19693.5,19643.0,161987000
2009-08-25,20112.5,20122.1,19746.0,19894.4,183686000
2009-08-26,20022.1,20144.7,19921.1,20112.5,164356000
2009-08-27,19987.8,20103.7,19876.7,20022.1,147296000
2009-08-28,20138.9,20279.8,20056.2,19987.8,159992000
2009-08-31,20002.1,20207.0,19963.2,20138.9,132487000
2009-09-01,19668.3,20143.7,19658.8,20002.1,178384000
2009-09-02,19363.3,19608.2,19142.7,19668.3,220555000
2009-09-03,19395.6,19556.1,19310.0,19363.3,176029000
2009-09-04,19756.0,19756.0,19477.8,19395.6,194004000
2009-09-07,20047.9,20097.1,19926.6,19756.0,133690000
2009-09-08,20009.2,20180.1,19927.1,20047.9,193569000
2009-09-09,20177.2,20191.1,19925.9,20009.2,166265000
2009-09-10,19965.4,20275.1,19823.3,20177.2,218431000
2009-09-11,20162.2,20301.1,20047.5,19965.4,170125000
2009-09-14,20232.8,20275.8,19863.8,20162.2,182350000
2009-09-15,20410.0,20477.9,20212.4,20232.8,165462000
2009-09-16,20680.4,20774.0,20507.7,20410.0,205776000
2009-09-17,20722.8,20838.7,20575.5,20680.4,210965000
2009-09-18,20733.9,20840.2,20629.9,20722.8,280854000
2009-09-21,20646.0,20728.2,20462.3,20733.9,165273000
2009-09-22,20803.4,20948.7,20724.0,20646.0,182670000
2009-09-23,20867.7,20914.0,20775.8,20803.4,154919000
2009-09-24,20590.6,20951.6,20493.7,20867.7,216358000
2009-09-25,20499.0,20619.9,20353.1,20590.6,156679000
2009-09-28,20934.4,20934.4,20318.3,20499.0,183123000
2009-09-29,20868.4,21017.3,20776.9,20934.4,174289000
2009-09-30,20696.6,21001.9,20472.6,20897.1,225471000
2009-10-01,20277.8,20863.9,20265.9,20715.1,216378000
2009-10-02,19940.6,20118.6,19838.2,20044.0,264338000
2009-10-05,20349.1,20387.7,19845.4,19935.6,257150000
2009-10-06,20807.0,20840.3,20410.2,20415.4,279330000
2009-10-07,20638.5,20872.5,20550.3,20815.5,207739000
2009-10-08,20802.1,20962.9,20694.3,20878.6,223069000
2009-10-09,20676.8,20966.2,20586.4,20792.8,213734000
2009-10-12,20704.2,20918.3,20678.2,20725.1,138495000
2009-10-13,20461.7,20686.2,20345.0,20653.2,190309000
2009-10-14,20924.6,20943.5,20646.3,20648.3,263952000
2009-10-15,20887.2,21051.2,20786.8,20976.4,241441000
2009-10-16,20633.7,21122.3,20518.8,21010.0,311129000
2009-10-19,21002.8,21041.1,20729.3,20759.7,205935000
2009-10-20,20834.6,21120.3,20821.4,21109.5,180874000
2009-10-21,20985.0,21048.9,20577.9,20828.3,204789000
2009-10-22,20902.6,20950.0,20651.1,20698.2,198322000
2009-10-23,20745.6,21135.5,20734.4,21048.1,214712000
2009-10-26,20538.6,20910.6,20469.9,20846.4,195705000
2009-10-27,20567.5,20647.4,20412.5,20490.3,193661000
2009-10-28,20206.3,20507.4,20116.2,20486.1,235268000
2009-10-29,20654.8,20667.1,20079.0,20151.5,232268000
2009-10-30,20179.9,20792.1,20093.9,20664.7,214014000
2009-11-02,20280.5,20367.2,20065.6,20082.8,156130000
2009-11-03,19885.4,20090.6,19774.8,20037.8,215377000
