,close,high,low,open,vol
2005-07-19,10045.0,10045.0,9966.5,9969.2,174800000.0
2005-07-20,10007.0,10037.8,9982.1,10016.1,152387000.0
2005-07-21,10021.5,10068.0,9962.9,10030.4,237305000.0
2005-07-22,10018.8,10044.5,9998.7,10010.9,122497000.0
2005-07-25,10017.1,10048.0,9979.5,10036.7,93670000.0
2005-07-26,10043.3,10052.2,9989.1,10014.3,132817000.0
2005-07-27,10088.7,10099.0,10046.7,10046.7,150869000.0
2005-07-28,10128.8,10140.0,10110.1,10114.1,141141000.0
2005-07-29,10115.6,10162.4,10083.0,10156.7,163029000.0
2005-08-01,10068.9,10125.7,10058.6,10122.6,126881000.0
2005-08-02,10113.9,10113.9,10043.7,10048.1,111566000.0
2005-08-03,10149.7,10151.1,10074.9,10099.9,154226000.0
2005-08-04,10074.3,10147.7,10067.3,10144.0,178251000.0
2005-08-05,10045.4,10082.5,10029.0,10042.8,133602000.0
2005-08-08,10115.5,10128.7,10045.2,10052.1,99931000.0
2005-08-09,10145.6,10145.6,10062.6,10074.4,124942000.0
2005-08-10,10229.2,10229.2,10146.7,10150.2,163649000.0
2005-08-11,10222.1,10226.5,10156.0,10189.2,155218000.0
2005-08-12,10187.2,10253.7,10169.8,10253.4,107336000.0
2005-08-15,10184.9,10206.2,10162.5,10163.8,37718000.0
2005-08-16,10139.8,10223.8,10105.7,10211.8,77965000.0
2005-08-17,10094.1,10124.0,10043.2,10110.4,125918000.0
2005-08-18,10037.9,10107.5,10029.4,10093.5,128285000.0
2005-08-19,10132.9,10136.5,10055.5,10062.7,116543000.0
2005-08-22,10174.8,10183.0,10147.8,10149.0,64210000.0
2005-08-23,10104.1,10160.2,10104.1,10158.9,91914000.0
2005-08-24,10078.9,10096.0,10032.9,10082.3,120465000.0
2005-08-25,9983.2,10030.5,9975.5,10026.6,126557000.0
2005-08-26,9904.8,10014.4,9903.4,9988.7,117887000.0
2005-08-29,9938.5,9946.1,9823.8,9862.4,124569000.0
2005-08-30,9922.3,9977.9,9922.3,9939.4,133764000.0
2005-08-31,10008.9,10019.7,9906.9,9916.7,194580000.0
2005-09-01,10134.1,10143.3,10048.4,10049.9,160975000.0
2005-09-02,10145.0,10184.8,10113.8,10119.9,140316000.0
2005-09-05,10250.9,10250.9,10148.7,10157.2,114918000.0
2005-09-06,10373.2,10377.5,10253.6,10254.0,234151000.0
2005-09-07,10408.0,10421.1,10377.3,10391.8,165268000.0
2005-09-08,10441.2,10445.5,10371.7,10418.5,146600000.0
2005-09-09,10486.6,10494.2,10444.2,10450.5,108080000.0
2005-09-12,10494.7,10532.5,10437.1,10519.9,134854000.0
2005-09-13,10429.8,10514.2,10421.9,10479.6,151278000.0
2005-09-14,10459.1,10483.7,10421.2,10433.4,142439000.0
2005-09-15,10475.7,10492.1,10432.3,10451.7,144664000.0
2005-09-16,10532.1,10560.6,10467.6,10472.5,183138000.0
2005-09-19,10536.0,10561.7,10475.9,10511.1,122940000.0
2005-09-20,10583.4,10583.4,10537.0,10557.0,130841000.0
2005-09-21,10500.3,10567.5,10494.6,10542.5,160718000.0
2005-09-22,10536.6,10572.5,10464.4,10486.5,213797000.0
2005-09-23,10631.2,10642.8,10542.1,10558.4,192114000.0
2005-09-26,10724.9,10741.0,10664.2,10671.0,242506000.0
2005-09-27,10678.5,10725.9,10669.1,10714.4,249244000.0
2005-09-28,10801.7,10818.4,10708.4,10711.7,233745000.0
2005-09-29,10780.6,10832.9,10751.9,10818.5,173471000.0
2005-09-30,10813.9,10851.4,10793.6,10834.3,172230000.0
2005-10-03,10880.7,10880.7,10815.4,10835.8,170259000.0
2005-10-04,10919.2,10919.2,10824.9,10883.9,153077000.0
2005-10-05,10823.1,10874.3,10822.7,10843.5,226911000.0
2005-10-06,10750.9,10761.9,10680.7,10723.3,272771000.0
2005-10-07,10732.4,10765.3,10698.1,10742.5,193268000.0
2005-10-10,10800.6,10819.8,10754.0,10754.1,136917000.0
2005-10-11,10810.2,10866.2,10795.2,10795.2,152119000.0
2005-10-12,10721.8,10768.4,10690.8,10766.8,148341000.0
2005-10-13,10567.1,10735.4,10567.1,10689.4,205297000.0
2005-10-14,10629.3,10645.5,10513.0,10645.5,182493000.0
2005-10-17,10629.5,10678.9,10615.4,10646.7,140334000.0
2005-10-18,10529.9,10663.9,10521.6,10633.3,140174000.0
2005-10-19,10402.5,10454.5,10356.5,10452.2,227988000.0
2005-10-20,10382.3,10512.7,10351.0,10469.5,189767000.0
2005-10-21,10368.8,10409.8,10326.0,10343.8,150341000.0
2005-10-24,10534.5,10534.5,10347.1,10359.1,184704000.0
2005-10-25,10476.6,10562.7,10464.4,10558.0,229000000.0
2005-10-26,10473.4,10544.5,10435.2,10470.5,187619000.0
2005-10-27,10328.6,10424.6,10327.4,10409.5,177351000.0
2005-10-28,10339.5,10362.4,10256.0,10327.7,173274000.0
2005-10-31,10493.8,10493.8,10412.9,10417.2,250169000.0
2005-11-01,10427.2,10485.6,10415.1,10469.4,176241000.0
2005-11-02,10424.5,10469.9,10336.1,10432.4,236306000.0
2005-11-03,10476.9,10500.4,10432.6,10467.9,290358000.0
2005-11-04,10412.3,10486.7,10389.2,10479.2,218653000.0
2005-11-07,10420.9,10455.6,10362.0,10406.2,160872000.0
2005-11-08,10440.2,10483.2,10410.4,10440.7,167907000.0
2005-11-09,10456.3,10475.9,10428.1,10434.1,123832000.0
2005-11-10,10438.4,10491.2,10407.6,10484.9,164870000.0
2005-11-11,10510.3,10518.9,10471.4,10491.4,165798000.0
2005-11-14,10504.6,10561.7,10473.8,10490.7,157770000.0
2005-11-15,10456.3,10508.2,10413.0,10489.6,187392000.0
2005-11-16,10391.7,10455.5,10338.7,10453.5,192332000.0
2005-11-17,10445.2,10468.4,10421.1,10430.9,149394000.0
2005-11-18,10527.1,10577.3,10485.9,10502.3,160946000.0
2005-11-21,10535.1,10556.9,10498.2,10532.9,132635000.0
2005-11-22,10522.9,10559.1,10491.7,10557.4,121900000.0
2005-11-23,10626.7,10631.8,10534.8,10544.6,157002000.0
2005-11-24,10634.2,10670.4,10593.4,10643.0,100200000.0
2005-11-25,10656.3,10672.6,10625.0,10649.3,97135000.0
2005-11-28,10618.8,10716.8,10609.6,10677.2,148100000.0
2005-11-29,10620.1,10657.9,10583.0,10604.2,120056000.0
2005-11-30,10557.8,10604.2,10540.5,10596.8,136861000.0
2005-12-01,10678.7,10678.7,10580.0,10580.0,135264000.0
2005-12-02,10649.8,10699.5,10611.8,10692.2,124799000.0
2005-12-05,10532.1,10669.0,10495.5,10669.0,158634000.0
2005-12-06,10539.3,10562.3,10501.4,10538.8,96821000.0
2005-12-07,10506.6,10555.6,10479.0,10553.9,156588000.0
2005-12-08,10495.8,10495.8,10423.9,10437.0,109519000.0
2005-12-09,10489.3,10501.1,10438.3,10453.3,96865000.0
2005-12-12,10540.0,10587.9,10500.0,10521.7,112182000.0
2005-12-13,10533.6,10561.8,10501.9,10544.0,117078000.0
2005-12-14,10502.4,10572.4,10484.8,10559.6,151340000.0
2005-12-15,10483.5,10517.6,10450.6,10509.4,205190000.0
2005-12-16,10555.3,10602.1,10462.8,10488.4,281353000.0
2005-12-19,10528.3,10587.0,10514.1,10549.6,143973000.0
2005-12-20,10572.3,10584.4,10495.9,10513.5,152964000.0
2005-12-21,10682.7,10694.7,10576.2,10578.5,153610000.0
2005-12-22,10701.3,10717.2,10668.5,10675.8,111593000.0
2005-12-23,10723.9,10753.3,10704.2,10725.8,87249000.0
2005-12-27,10772.7,10791.5,10716.1,10718.3,81768000.0
2005-12-28,10769.5,10781.4,10741.8,10747.2,66891000.0
2005-12-29,10778.1,10811.9,10765.2,10787.4,72621000.0
2005-12-30,10733.9,10771.4,10696.9,10767.8,90798000.0
2006-01-02,10786.7,10814.6,10720.0,10725.8,63165000.0
2006-01-03,10818.1,10839.3,10769.3,10794.1,127109000.0
2006-01-04,10895.8,10898.9,10830.9,10869.3,199350000.0
2006-01-05,10913.6,10929.6,10883.3,10907.3,127147000.0
2006-01-09,10962.5,10966.1,10928.1,10943.1,208100000.0
2006-01-10,10869.9,10935.1,10869.9,10932.1,137368000.0
2006-01-11,10966.2,10966.2,10908.8,10909.3,163341000.0
2006-01-12,10955.8,10969.4,10925.7,10935.0,203881000.0
2006-01-13,10850.7,10943.0,10825.5,10938.4,165949000.0
2006-01-16,10898.4,10905.8,10821.6,10825.9,119004000.0
2006-01-17,10806.3,10844.0,10795.1,10834.5,177402000.0
2006-01-18,10708.1,10740.7,10674.2,10719.0,174730000.0
2006-01-19,10821.5,10821.5,10763.4,10764.7,186546000.0
2006-01-20,10740.9,10872.4,10737.8,10834.1,195448000.0
2006-01-23,10712.2,10723.3,10611.1,10642.9,171586000.0
2006-01-24,10665.6,10747.6,10645.5,10728.3,199181000.0
2006-01-25,10824.1,10824.1,10690.4,10704.1,203296000.0
2006-01-26,10890.2,10952.6,10788.1,10792.2,295319000.0
2006-01-27,11023.2,11026.9,10886.3,10944.5,209888000.0
2006-01-30,11038.0,11051.7,10979.7,11012.4,152037000.0
2006-01-31,11104.3,11112.1,11022.8,11025.2,195601000.0
2006-02-01,11221.1,11221.1,11030.1,11030.5,191620000.0
2006-02-02,11136.0,11253.0,11125.7,11218.7,236159000.0
2006-02-03,11175.8,11202.5,11120.7,11162.0,186203000.0
2006-02-06,11187.5,11217.0,11164.8,11199.8,179161000.0
2006-02-07,11175.1,11215.9,11099.1,11195.9,191245000.0
2006-02-08,11202.6,11209.3,11083.4,11114.1,218908000.0
2006-02-09,11344.9,11344.9,11222.0,11226.4,185408000.0
2006-02-10,11312.6,11366.9,11293.6,11339.1,174562000.0
2006-02-13,11395.5,11395.5,11281.2,11325.1,132057000.0
2006-02-14,11395.9,11412.3,11320.4,11389.5,152441000.0
2006-02-15,11377.4,11426.1,11366.9,11399.0,173169000.0
2006-02-16,11447.2,11447.2,11384.1,11410.9,138257000.0
2006-02-17,11491.3,11501.4,11428.6,11460.7,175707000.0
2006-02-20,11535.6,11535.6,11456.9,11473.5,115753000.0
2006-02-21,11626.9,11657.8,11542.0,11564.0,252980000.0
2006-02-22,11755.3,11755.3,11604.8,11619.2,203616000.0
2006-02-23,11739.0,11785.9,11708.5,11755.2,173450000.0
2006-02-24,11786.9,11786.9,11738.7,11753.9,163351000.0
2006-02-27,11832.8,11832.8,11786.5,11821.1,143064000.0
2006-02-28,11740.7,11840.1,11691.8,11825.4,210412000.0
2006-03-01,11902.2,11902.2,11758.1,11764.6,196695000.0
2006-03-02,11809.6,11918.6,11776.4,11914.4,212197000.0
2006-03-03,11755.7,11834.8,11725.8,11783.6,168724000.0
2006-03-06,11759.1,11812.4,11740.8,11765.7,168994000.0
2006-03-07,11701.3,11714.4,11610.3,11706.2,181534000.0
2006-03-08,11629.2,11736.0,11566.8,11722.3,164632000.0
2006-03-09,11699.6,11727.9,11657.5,11701.5,145026000.0
2006-03-10,11771.8,11771.8,11635.3,11642.2,148162000.0
2006-03-13,11845.4,11854.7,11805.9,11808.7,137013000.0
2006-03-14,11835.0,11839.7,11773.3,11815.5,125716000.0
2006-03-15,11845.7,11884.5,11831.9,11869.4,172159000.0
2006-03-16,11862.5,11874.4,11804.2,11860.3,261076000.0
2006-03-17,11872.9,11949.6,11835.3,11877.4,222907000.0
2006-03-20,11922.0,11962.8,11896.6,11909.3,97088000.0
2006-03-21,11933.4,11944.6,11857.8,11944.6,158457000.0
2006-03-22,11951.6,11959.3,11860.0,11876.2,167782000.0
